Error_Status_Bit;Error_Name;Failure_Event_Indication,
Error Status 1, Word 0 [0];Power supply monitoring: internal VDD1V8 undervoltage (UV2);C
Error Status 1, Word 0 [1];Reset triggered via RESET_N pin;-
Error Status 1, Word 0 [2];Power supply monitoring: VDD3V3 undervoltage (UV2);C
Error Status 1, Word 0 [3];Power supply monitoring: VDD1V8A undervoltage (UV2);C
Error Status 1, Word 0 [4];Power supply monitoring: internal VDD0V9D undervoltage (UV2);C
Error Status 1, Word 0 [5];Internal warning: clock generation;M
Error Status 1, Word 0 [6];Internal error: clock generation;C
Error Status 1, Word 0 [7];Reference clock generation monitoring;C
Error Status 1, Word 0 [8];Internal error: clock generation;C
Error Status 1, Word 0 [9];Reserved;-
Error Status 1, Word 0 [10];Reserved;-
Error Status 1, Word 0 [11];Reserved;-
Error Status 1, Word 0 [12];Reserved;-
Error Status 1, Word 0 [13];Reserved;-
Error Status 1, Word 0 [14];Reserved;-
Error Status 1, Word 0 [15];Reserved;-
Error Status 1, Word 0 [16];Reserved;-
Error Status 1, Word 0 [17];Reserved;-
Error Status 1, Word 0 [18];Reserved;-
Error Status 1, Word 0 [19];Reserved;-
Error Status 1, Word 0 [20];Reserved;-
Error Status 1, Word 0 [21];Reserved;-
Error Status 1, Word 0 [22];Reserved;-
Error Status 1, Word 0 [23];Reserved;-
Error Status 1, Word 0 [24];Reserved;-
Error Status 1, Word 0 [25];Reserved;-
Error Status 1, Word 0 [26];Reserved;-
Error Status 1, Word 0 [27];Reserved;-
Error Status 1, Word 0 [28];Reserved;-
Error Status 1, Word 0 [29];Reserved;-
Error Status 1, Word 0 [30];Reserved;-
Error Status 1, Word 0 [31];Reserved;-
Error Status 2, Word 0 [0];Internal error: SMU;A
Error Status 2, Word 0 [1];TX signal power monitoring error;A
Error Status 2, Word 0 [2];TX power balance monitoring error;A
Error Status 2, Word 0 [3];TX phase balance monitoring error;A
Error Status 2, Word 0 [4];Reserved;-
Error Status 2, Word 0 [5];Sequencer error;A
Error Status 2, Word 0 [6];RX baseband HP attenuation monitoring error;A
Error Status 2, Word 0 [7];RX gain monitoring error;A
Error Status 2, Word 0 [8];RX gain balance monitoring error;A
Error Status 2, Word 0 [9];TX phase monitoring hardware error;A
Error Status 2, Word 0 [10];SADC monitoring hardware error;A
Error Status 2, Word 0 [11];Reserved;-
Error Status 2, Word 0 [12];RX internal monitoring;A
Error Status 2, Word 0 [13];SPI CRC error;A
Error Status 2, Word 0 [14];Reserved;-
Error Status 2, Word 0 [15];RX phase balance monitoring error;A
Error Status 2, Word 0 [16];Reserved;-
Error Status 2, Word 0 [17];Reserved;-
Error Status 2, Word 0 [18];Reserved;-
Error Status 2, Word 0 [19];Internal error: safety flip-flop;A
Error Status 2, Word 0 [20];Internal error: DCA;B
